,Forecast,Lower_CI,Upper_CI
2026-05-01,111.0736085390951,109.94838542048012,112.19883165771009
2026-06-01,111.22999960118393,109.64105909883445,112.81894010353342
2026-07-01,111.07360893791017,109.12659610603448,113.02062176978585
2026-08-01,111.2299992023699,108.98289799414387,113.47710041059592
2026-09-01,111.0736093367232,108.56052540093648,113.5866932725099
2026-10-01,111.22999880355789,108.47787312328587,113.9821244838299
2026-11-01,111.07360973553419,108.10034170706324,114.04687776400515
2026-12-01,111.22999840474792,108.05211740005123,114.4078794094446
2027-01-01,111.07361013434314,107.70240045976881,114.44481980891747
2027-02-01,111.22999800593998,107.67701903048726,114.7829769813927
2027-03-01,111.07361053315006,107.34671013593561,114.80051093036451
2027-04-01,111.22999760713407,107.3379041447409,115.12209106952723
2027-05-01,111.07361093195495,107.0221274417296,115.1250944221803
2027-06-01,111.22999720833019,107.02605579104144,115.43393862561894
2027-07-01,111.0736113307578,106.721686426491,115.4255362350246
2027-08-01,111.22999680952836,106.73579439308277,115.72419922597395
2027-09-01,111.07361172955862,106.44068800115727,115.70653545795997
2027-10-01,111.22999641072855,106.46317490368922,115.99681791776787
2027-11-01,111.07361212835741,106.17578463302965,115.97143962368517
2027-12-01,111.22999601193078,106.2053249580251,116.25466706583646
2028-01-01,111.07361252715415,105.92449162404937,116.22273343025894
2028-02-01,111.22999561313505,105.9600761526556,116.49991507361449
2028-03-01,111.07361292594888,105.6849045486482,116.46232130324955
2028-04-01,111.22999521434134,105.72574385380919,116.7342465748735
2028-05-01,111.07361332474156,105.45552558277919,116.69170106670393
2028-06-01,111.22999481554967,105.50098836068355,116.9590012704158
2028-07-01,111.07361372353222,105.23515144505659,116.91207600200785
2028-08-01,111.22999441676005,105.28472344901832,117.17526538450178
2028-09-01,111.07361412232083,105.02279817089943,117.12443007374223
2028-10-01,111.22999401797244,105.07605391427907,117.38393412166582
2028-11-01,111.07361452110742,104.81764892187606,117.32958012033878
2028-12-01,111.22999361918689,104.87423160981177,117.585755628562
2029-01-01,111.07361491989197,104.61901675427745,117.52821308550648
2029-02-01,111.22999322040334,104.67862369641954,117.78136274438715
2029-03-01,111.07361531867448,104.42631741799784,117.72091321935113
2029-04-01,111.22999282162185,104.48868919696962,117.97129644627408
2029-05-01,111.07361571745496,104.23904906834518,117.90818236656473
2029-06-01,111.22999242284237,104.30396134583208,118.15602349985267
2029-07-01,111.0736161162334,104.05677685757108,118.09045537489571
2029-08-01,111.22999202406494,104.12403407318506,118.33594997494482
2029-09-01,111.0736165150098,103.87912104397894,118.26811198604067
2029-10-01,111.22999162528954,103.94855149852675,118.51143175205233
2029-11-01,111.07361691378419,103.70574768425385,118.44148614331453
2029-12-01,111.22999122651619,103.77719965291189,118.68278280012049
2030-01-01,111.07361731255655,103.53636125453157,118.61087337058153
2030-02-01,111.22999082774487,103.60969987794901,118.85028177754073
2030-03-01,111.07361771132686,103.37069873310789,118.77653668954584
2030-04-01,111.22999042897557,103.44580350422282,119.01417735372831
2030-05-01,111.07361811009514,103.20852480576774,118.93871141442254
2030-06-01,111.22999003020831,103.28528751850656,119.17469254191006
2030-07-01,111.07361850886139,103.04962794390289,119.09760907381988
2030-08-01,111.22998963144309,103.12795100407367,119.33202825881251
2030-09-01,111.0736189076256,102.89381716875027,119.25342064650093
2030-10-01,111.2299892326799,102.97361219191134,119.48636627344845
2030-11-01,111.07361930638778,102.74091936050768,119.40631925226789
2030-12-01,111.22998883391874,102.82210599938355,119.63787166845393
2031-01-01,111.07361970514792,102.59077700421147,119.55646240608436
2031-02-01,111.22998843515961,102.67328196133394,119.78669490898528
2031-03-01,111.07362010390604,102.44324628873507,119.703993919077
2031-04-01,111.22998803640253,102.52700247975895,119.93297359304611
